LECROYWaveRunner„U,21892,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Jun-2021 15:24:40,0                 
Time,Ampl
-7.878417e-08,-0.000303178
-7.868417e-08,-4.89186e-05
-7.858417e-08,6.91302e-05
-7.848417e-08,0.00010675
-7.838417e-08,-6.44855e-05
-7.828417e-08,-0.000120267
-7.818417e-08,-0.000196804
-7.808417e-08,-0.000431605
-7.798417e-08,-0.000573004
-7.788417e-08,-0.000461441
-7.778417e-08,-0.000224046
-7.768417e-08,-0.000230532
-7.758417e-08,1.07544e-05
-7.748417e-08,0.000449222
-7.738417e-08,0.000454411
-7.728417e-08,0.000244258
-7.718417e-08,-5.02159e-05
-7.708417e-08,-0.00055614
-7.698417e-08,-0.00094142
-7.688417e-08,-0.000937528
-7.678417e-08,-0.000471819
-7.668417e-08,-2.946e-05
-7.658417e-08,-0.000199398
-7.648417e-08,-0.000313556
-7.638417e-08,-7.48634e-05
-7.628417e-08,8.98861e-05
-7.618417e-08,9.89668e-05
-7.608417e-08,-6.44855e-05
-7.598417e-08,-0.000117672
-7.588417e-08,7.69137e-05
-7.578417e-08,-1.90821e-05
-7.568417e-08,-0.000419929
-7.558417e-08,-0.00046663
-7.548417e-08,-0.000237018
-7.538417e-08,-0.000221452
-7.528417e-08,-0.000130645
-7.518417e-08,0.000104156
-7.508417e-08,0.000241663
-7.498417e-08,0.000410304
-7.488417e-08,0.000582837
-7.478417e-08,0.000881203
-7.468417e-08,0.000564676
-7.458417e-08,-0.000152698
-7.448417e-08,-0.000131942
-7.438417e-08,-0.00016567
-7.428417e-08,-0.000313556
-7.418417e-08,-0.000222749
-7.408417e-08,-0.000247396
-7.398417e-08,-0.000116375
-7.388417e-08,0.000377873
-7.378417e-08,0.000790396
-7.368417e-08,0.000772234
-7.358417e-08,0.000722939
-7.348417e-08,0.000761857
-7.338417e-08,0.000469978
-7.328417e-08,0.000197557
-7.318417e-08,0.000390846
-7.308417e-08,0.000192368
-7.298417e-08,-0.000300583
-7.288417e-08,-0.000141023
-7.278417e-08,0.000409007
-7.268417e-08,0.000774829
-7.258417e-08,0.000774829
-7.248417e-08,0.000586729
-7.238417e-08,0.000553001
-7.228417e-08,0.000602296
-7.218417e-08,0.000301336
-7.208417e-08,0.000170315
-7.198417e-08,0.00043106
-7.188417e-08,0.000171612
-7.178417e-08,-0.000159184
-7.168417e-08,6.91302e-05
-7.158417e-08,0.000412899
-7.148417e-08,0.000739803
-7.138417e-08,0.000659375
-7.128417e-08,0.000511489
-7.118417e-08,0.000473869
-7.108417e-08,0.000375279
-7.098417e-08,0.000706075
-7.088417e-08,0.000416791
-7.078417e-08,-0.00033042
-7.068417e-08,-0.000294097
-7.058417e-08,-5.54048e-05
-7.048417e-08,-6.83772e-05
-7.038417e-08,-0.000234424
-7.028417e-08,-3.51521e-06
-7.018417e-08,0.000598404
-7.008417e-08,0.00065678
-6.998417e-08,0.000528353
-6.988417e-08,0.000603593
-6.978417e-08,0.000582837
-6.968417e-08,0.000438844
-6.958417e-08,-3.20545e-05
-6.948417e-08,-0.000320042
-6.938417e-08,-9.17276e-05
-6.928417e-08,-3.4649e-05
-6.918417e-08,-0.000111186
-6.908417e-08,0.000204043
-6.898417e-08,0.000469978
-6.888417e-08,0.000412899
-6.878417e-08,0.00054392
-6.868417e-08,0.00076964
-6.858417e-08,0.000625646
-6.848417e-08,0.000388251
-6.838417e-08,0.000266311
-6.828417e-08,-0.000187723
-6.818417e-08,-0.00063138
-6.808417e-08,-0.000600246
-6.798417e-08,-0.000413443
-6.788417e-08,-0.000111186
-6.778417e-08,0.000119723
-6.768417e-08,-4.76214e-05
-6.758417e-08,5.56547e-06
-6.748417e-08,0.000290958
-6.738417e-08,0.000126209
-6.728417e-08,-0.000251288
-6.718417e-08,-0.000434199
-6.708417e-08,-0.000419929
-6.698417e-08,-0.000543167
-6.688417e-08,-0.000623596
-6.678417e-08,-0.000557437
-6.668417e-08,-0.000444577
-6.658417e-08,-0.00037712
-6.648417e-08,-0.000291503
-6.638417e-08,-6.83772e-05
-6.628417e-08,0.000218313
-6.618417e-08,0.000586729
-6.608417e-08,0.000217016
-6.598417e-08,-0.000207182
-6.588417e-08,-0.000325231
-6.578417e-08,-0.000759806
-6.568417e-08,-0.000801318
-6.558417e-08,-0.00070143
-6.548417e-08,-0.000486089
-6.538417e-08,-0.00019421
-6.528417e-08,-0.000243505
-6.518417e-08,-0.000262963
-6.508417e-08,-9.82138e-05
-6.498417e-08,9.24806e-05
